issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"I can help only with support questions about Claude, HackerRank, or Visa that are covered by the provided support documentation.",workspace_access,replied,invalid,"Returned a generic out-of-scope reply because the ticket does not request supported Claude, HackerRank, or Visa help."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"I can help only with support questions about Claude, HackerRank, or Visa that are covered by the provided support documentation.",test_grading,replied,invalid,"Returned a generic out-of-scope reply because the ticket does not request supported Claude, HackerRank, or Visa help."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,"We are sorry to hear about your experience with this merchant. Please note that Visa does not set up, service, or have access to cardholder or merchant accounts, so we cannot issue a refund directly. To dispute the charge, please contact the financial institution that issued your Visa card (usually by calling the number on the back of your card). Additionally, if you have concerns involving a merchant's practices, you can report them by filling out the merchant concern form on the Visa Consumer Support page.",transaction_dispute,replied,product_issue,The corpus states that Visa does not have access to cardholder accounts to issue refunds and directs users to contact their issuer for disputes. It also provides a form for reporting merchant concerns.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"I'm sorry to hear your mock interview stopped unexpectedly. Please note that you do not lose access to the test; you can return and continue from where you left off at any time. If you are not satisfied with your mock interview and still wish to request a refund, please contact help@hackerrank.com so the support team can promptly review your request.",mock_interviews,replied,product_issue,"The corpus explains that users can return and continue a test from where they left off at any time, and directs users to contact help@hackerrank.com for refund requests."
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"Hello,

If your payment failed and any amount was deducted incorrectly, it will be refunded within 5–10 business days. If you accidentally made a purchase or are not satisfied with your mock interview, our support team will review your request. Please provide more details about the specific issue you experienced with your payment so we can assist you further.",payment_issue,replied,product_issue,"The user reported a generic payment issue. The response provides the standard policy for failed payments and refunds from the corpus, while prompting the user for more details."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,This issue needs specialized assistance from the HackerRank support team. I have escalated this ticket for human review.,security_questionnaire,escalated,product_issue,Escalated because Gemini marked the retrieved evidence as insufficient for a safe grounded reply.
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,This issue needs specialized assistance from the HackerRank support team. I have escalated this ticket for human review.,ui_navigation,escalated,product_issue,Escalated because Gemini marked the retrieved evidence as insufficient for a safe grounded reply.
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,This issue needs specialized assistance from the HackerRank support team. I have escalated this ticket for human review.,platform_outage,escalated,bug,Escalated because the ticket matches a critical-risk boundary: system_outage.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"I'm sorry to hear you're experiencing issues with the Zoom connectivity compatibility check. To resolve this, please ensure that the following Zoom domains are not blocked on your network or firewall:

- `*.zoom.us`
- `*.*.zoom.us`
- `zoom.us`

If you have verified that these domains are allowed and you are still encountering the error, please contact us at support@hackerrank.com and include a screenshot of the error message so we can investigate further.",compatibility_check,replied,product_issue,The corpus explicitly states the required Zoom domains for compatibility and instructs users to contact support with a screenshot if compatibility problems persist.
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,This issue needs specialized assistance from the HackerRank support team. I have escalated this ticket for human review.,assessment_rescheduling,escalated,product_issue,Escalated because Gemini marked the retrieved evidence as insufficient for a safe grounded reply.
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?",Candidate inactivity help,HackerRank,This issue needs specialized assistance from the HackerRank support team. I have escalated this ticket for human review.,interview_settings,escalated,product_issue,Escalated because Gemini marked the retrieved evidence as insufficient for a safe grounded reply.
"it’s not working, help",Help needed,None,"I'm sorry to hear you're having trouble. Could you please provide more details about what isn't working? If you need assistance with Claude, you can log in to your account, click your initials in the lower left corner, and select ""Get help"" to chat with our AI support bot, Fin. If you are unable to log in, click the message icon in the lower right corner of the Help Center and select ""I can't login"".",general_support,replied,product_issue,The user's request is too vague to provide a specific technical solution. The response asks for clarification while providing grounded instructions on how to access the support messenger for further help.
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,"Hello! To remove a user from the platform entirely, you can deactivate their account. To do this:
1. Click your profile icon in the upper-right corner and select **Admin Panel**.
2. Click your profile icon in the admin panel and select **User Management**.
3. Click the ellipsis (⋯) icon next to the user’s name and select **Deactivate User**.

If you are only trying to remove them from a specific team:
1. Click your profile icon and select **Teams Management**.
2. Go to the **Teams** tab and select the relevant team.
3. Under the **Users** tab, select the delete icon in the **Action** column next to the user.

Alternatively, from the main Users tab in Teams Management, you can click the three-dot icon next to the user's name and select **Remove from Teams** (you will be prompted to transfer ownership of their resources to a new owner). 

Please note that you must have Company Admin or Team Admin access to perform these actions.",user_management,replied,product_issue,"The excerpts provide exact steps for deactivating a user from the platform via the Admin Panel, as well as removing a user from a team via Teams Management."
"Hi, please pause our subscription. We have stopped all hiring efforts for now.",Subscription pause,HackerRank,"Hello,

You can temporarily pause your HackerRank subscription for 1 to 12 months. To use this feature, you must have an active monthly subscription (Individual Monthly - Basic or Interview Monthly) that started at least 30 days ago.

To pause your subscription, please follow these steps:
1. Click on the **profile icon** in the top-right corner of the page and select **Settings**.
2. Navigate to the **Billing** section under **Subscription**.
3. Click the **Cancel Plan** button. A prompt for the **Pause Subscription** feature will appear.
4. Select your desired pause duration (between 1 and 12 months).
5. Click **Confirm Pause**. 

You will see a confirmation message displaying the pause duration and the automatic resume date. Let us know if you need any further assistance!",subscription_management,replied,product_issue,The corpus provides exact prerequisites and steps for pausing a subscription.
"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,This issue needs specialized assistance from the Claude support team. I have escalated this ticket for human review.,platform_availability,escalated,bug,Escalated because the ticket matches a critical-risk boundary: system_outage.
